RecordedAtTime,DirectionRef,PublishedLineName,OriginName,OriginLat,OriginLong,DestinationName,DestinationLat,DestinationLong,VehicleRef,VehicleLocation.Latitude,VehicleLocation.Longitude,NextStopPointName,ArrivalProximityText,DistanceFromStop,ExpectedArrivalTime,ScheduledArrivalTime
2017-06-01 00:03:53,0,Bx36,W 179 ST/BROADWAY,40.849113,-73.937752,SOUNDVIEW PUGSLEY AV,40.820507,-73.851631,NYCT_7766,40.84745,-73.887448,E 180 ST/PROSPECT AV,approaching,113,2017-06-01 00:04:35,24:01:16
2017-06-01 00:03:47,0,M96,W 96 ST/WEST END AV,40.794933,-73.972687,EAST SIDE 1 AV CROSSTOWN,40.784222,-73.94474,NYCT_6678,40.783676,-73.944412,E 97 ST/1 AV,approaching,86,2017-06-01 00:04:13,24:06:00
2017-06-01 00:03:35,1,Q4,235 ST/LINDEN BL,40.69054,-73.727448,JAMAICA PRSNS - ARCHR via LINDEN,40.701683,-73.802475,NYCT_8408,40.695912,-73.782591,MERRICK BL/110 AV,approaching,53,2017-06-01 00:03:56,24:00:37
2017-06-01 00:03:53,1,Q54,JAMAICA AV/170 ST,40.707287,-73.789581,WILLAMSBURG BRIDGE PLZ,40.709476,-73.959534,NYCT_3988,40.709274,-73.960021,WASHINGTON PLZ/BAY 3,approaching,62,2017-06-01 00:04:10,23:46:00
2017-06-01 00:03:41,0,B6,HARWAY AV/BAY 37 ST,40.59351,-73.993996,EAST NY NEW LOTS STA,40.66642,-73.883385,NYCT_7158,40.645676,-73.901474,GLENWOOD RD/E 98 ST,at stop,4,2017-06-01 00:03:56,24:05:00
2017-06-01 00:03:36,0,B4,NARROWS AV/77 ST,40.631836,-74.036377,SHEEPSHEAD BAY KNAPP ST,40.586628,-73.931702,NYCT_445,40.585739,-73.937214,SHORE PKY/BROWN ST,at stop,25,2017-06-01 00:03:56,24:01:49
2017-06-01 00:03:32,1,M101,ST NICHOLAS AV/W 192 ST,40.856289,-73.928764,EAST VILLAGE 6 ST via LEX AV,40.729115,-73.990257,NYCT_5642,40.752234,-73.975473,LEXINGTON AV/E 42 ST,< 1 stop away,178,2017-06-01 00:04:33,23:55:00
2017-06-01 00:03:53,0,Bx5,SOUTHERN BL/WESTCHESTER AV,40.823673,-73.891945,WHITE PLAINS RD,40.823059,-73.855736,NYCT_1280,40.823108,-73.85593,TURNBULL AV/ PUGSLEY AV,at stop,14,2017-06-01 00:03:56,24:02:00
2017-06-01 00:03:45,0,Q12,ROOSEVELT AV/LAYOVER,40.758999,-73.831757,LITTLE NECK GLENWOOD ST VIA NORTHERN,40.771767,-73.733307,NYCT_7379,40.759866,-73.828936,ROOSEVELT AV/MAIN ST,approaching,106,2017-06-01 00:06:12,24:05:00
2017-06-01 00:03:32,1,B43,BOX ST/MANHATTAN AV,40.737194,-73.955673,LEFRTS GDNS PROSPCT PK STA,40.660858,-73.96138,NYCT_342,40.721454,-73.947169,GRAHAM AV/ENGERT AV,approaching,50,2017-06-01 00:03:56,24:05:23
2017-06-01 00:03:45,1,M100,BROADWAY/W 219 ST,40.871967,-73.91304,E HARLM 1 AV-125 ST via BDWY via AMSTRDM,40.802273,-73.931145,NYCT_4394,40.804815,-73.938466,E 125 ST/LEXINGTON AV,approaching,136,2017-06-01 00:04:52,24:00:36
2017-06-01 00:03:35,1,M11,BROADWAY/W 133 ST,40.818493,-73.95594,WEST VILL ABINGDON SQ via 9 AV,40.737072,-74.005867,NYCT_6372,40.77347,-73.981669,COLUMBUS AV/W 66 ST,at stop,12,2017-06-01 00:03:56,23:57:00
2017-06-01 00:03:29,1,B11,FLATBUSH AV/E 31 ST,40.631992,-73.946701,SUNSET PARK 1 AV - 58 ST,40.645618,-74.023521,NYCT_251,40.644872,-74.017483,55 ST/3 AV,approaching,53,2017-06-01 00:03:56,24:05:50
2017-06-01 00:03:33,1,M2,168 ST/AUDUBON AV,40.840645,-73.938545,EAST VILLAGE 8 ST via 5 AV,40.730282,-73.990532,NYCT_3870,40.74089,-73.99006,5 AV/W 20 ST,< 1 stop away,193,2017-06-01 00:04:02,23:52:51
2017-06-01 00:03:25,1,B41,CADMAN PLAZA WEST/JOHNSON ST,40.695534,-73.990829,BERGEN BCH VETERANS AV via FLATBSH,40.620052,-73.908203,NYCT_5139,40.690245,-73.987316,LIVINGSTON ST/HOYT ST,< 1 stop away,174,2017-06-01 00:04:15,23:58:38
2017-06-01 00:03:31,0,M34A-SBS,9 AV/W 42 ST,40.758617,-73.992638,WATERSIDE VIA 34 ST VIA 2 AV,40.737553,-73.973846,NYCT_5851,40.756669,-73.993913,W 34 ST/9 AV,< 1 stop away,464,2017-06-01 00:05:07,24:06:02
2017-06-01 00:03:30,0,B8,4 AV/95 ST,40.616104,-74.031143,BROWNSVILLE ROCKAWAY AV,40.656048,-73.907379,NYCT_399,40.628821,-73.980484,18 AV/47 ST,approaching,120,2017-06-01 00:03:56,24:14:50
2017-06-01 00:03:41,1,B26,WYCKOFF ST/PALMETTO ST,40.69915,-73.910477,DNTWN BKLYN TILLARY ST via HALSEY,40.693939,-73.990311,NYCT_7260,40.686261,-73.974316,FULTON ST/S ELLIOTT PL,approaching,103,2017-06-01 00:04:11,24:03:01
2017-06-01 00:03:38,0,Bx32,LINCOLN AV/E 138 ST,40.810955,-73.927139,KINGSBRIDGE VA HOSP,40.86739,-73.905464,NYCT_714,40.867352,-73.905387,VA HOSPITAL/VA HOSPITAL,at stop,5,2017-06-01 00:03:56,23:59:00
2017-06-01 00:03:27,1,X10,E 57 ST/3 AV,40.760429,-73.967674,PT RICHMOND via NARROWS RD via GANNON AV,40.633698,-74.129776,NYCT_2656,40.642433,-74.02014,gowanus py/6 av,0.6 miles away,1022,2017-06-01 00:04:29,24:02:56
2017-06-01 00:03:46,0,B14,EASTERN PY/UTICA AV,40.668537,-73.931236,SPRING CREEK STANLEY AV POSTAL FAC,40.664642,-73.863068,NYCT_7094,40.664865,-73.863265,POSTAL FACILITY RD/IN FRONT OF FACILITY,at stop,27,2017-06-01 00:03:56,23:49:00
2017-06-01 00:03:41,0,B62,BOERUM PL/SCHERMERHORN ST,40.690567,-73.989365,LI CITY QUEENS PLAZA,40.749702,-73.938965,NYCT_4548,40.743762,-73.950284,JACKSON AV/21 ST,< 1 stop away,211,2017-06-01 00:04:56,24:00:53
2017-06-01 00:03:24,1,Bx17,FORDHAM PLAZA/BUS TERMINAL,40.860229,-73.890968,PT MORRIS 135 ST,40.804848,-73.918556,NYCT_7738,40.804706,-73.918346,E 135 ST/ST ANN'S AV,at stop,22,2017-06-01 00:03:56,23:53:00
2017-06-01 00:03:42,1,Q12,NORTHERN BL/MORGAN ST,40.771725,-73.734749,FLUSHING MAIN ST STA via NORTHERN,40.758987,-73.831779,NYCT_4671,40.757886,-73.787956,NORTHERN BL/194 ST,at stop,5,2017-06-01 00:03:56,24:03:12
2017-06-01 00:03:27,1,Bx4,LANE AV/BENSON AV,40.840611,-73.843231,THE HUB 3 AV via WESTCHTR AV,40.816235,-73.915855,NYCT_4792,40.823567,-73.894048,WESTCHESTER AV/TIFFANY ST,approaching,64,2017-06-01 00:03:56,23:59:56
2017-06-01 00:03:39,0,M103,PARK ROW/BEEKMAN ST,40.711861,-74.006157,E HARLEM 125 ST via 3 AV,40.804268,-73.935303,NYCT_5716,40.717081,-73.995551,BOWERY/HESTER ST,approaching,35,2017-06-01 00:03:56,24:04:50
2017-06-01 00:03:41,0,M50,12 AV/W 42 ST ISLAND,40.762051,-74.000999,E 49 ST & 1 AV,40.753418,-73.966835,NYCT_4122,40.766535,-73.996989,W 50 ST/12 AV,approaching,53,2017-06-01 00:03:56,24:02:17
2017-06-01 00:03:29,0,B25,FRONT ST / YORK ST,40.702515,-73.991913,BWAY JCT ALABAMA AV via FULTON,40.67672,-73.900116,NYCT_7104,40.678892,-73.922021,FULTON ST/RALPH AV,approaching,65,2017-06-01 00:03:56,24:08:00
2017-06-01 00:03:29,0,B25,FRONT ST / YORK ST,40.702515,-73.991913,BWAY JCT ALABAMA AV via FULTON,40.67672,-73.900116,NYCT_7104,40.678892,-73.922021,FULTON ST/RALPH AV,approaching,65,2017-06-01 00:03:56,24:09:00
2017-06-01 00:03:28,0,M101,ASTOR PL/3 AV,40.729568,-73.990051,96 ST,40.785725,-73.948792,NYCT_5693,40.752573,-73.973132,3 AV/E 47 ST,< 1 stop away,213,NA,23:40:58
2017-06-01 00:03:37,0,Bx4,BERGEN AV/WESTCHESTER AV,40.816299,-73.915703,WESTCHTR SQ via WESTCHTR AV,40.840267,-73.843224,NYCT_5568,40.8265,-73.888351,WESTCHESTER AV/WHITLOCK AV,< 1 stop away,206,2017-06-01 00:04:40,23:55:26
